Last Update,Country/Region,Confirmed,Deaths,Recovered,rate_Deaths,rate_Confirmed,Active
2020-03-14 12:53:07,Venezuela,2,0.0,0.0,0.0,2,0.0
2020-03-15 18:20:18,Venezuela,10,0.0,0.0,0.0,8,0.0
2020-03-16 00:53:03,Venezuela,17,0.0,0.0,0.0,7,0.0
2020-03-17 11:33:05,Venezuela,33,0.0,0.0,0.0,16,0.0
2020-03-18 11:33:04,Venezuela,36,0.0,0.0,0.0,3,0.0
2020-03-19 20:13:34,Venezuela,42,0.0,0.0,0.0,6,0.0
2020-03-19 20:13:34,Venezuela,42,0.0,0.0,0.0,0,0.0
2020-03-21 20:43:03,Venezuela,70,0.0,0.0,0.0,28,0.0
2020-03-22 23:45:00,Venezuela,70,0.0,15.0,0.0,0,55.0
2020-03-23 23:19:21,Venezuela,77,0.0,15.0,0.0,7,62.0
2020-03-24 23:37:15,Venezuela,84,0.0,15.0,0.0,7,69.0
2020-03-25 23:33:04,Venezuela,91,0.0,15.0,0.0,7,76.0
2020-03-26 23:48:18,Venezuela,107,0.0,15.0,0.0,16,92.0
2020-03-27 23:23:03,Venezuela,107,1.0,31.0,1.0,0,75.0
2020-03-28 23:05:00,Venezuela,119,2.0,39.0,1.0,12,78.0
2020-03-29 23:08:00,Venezuela,119,2.0,39.0,0.0,0,78.0
2020-03-30 22:52:00,Venezuela,135,3.0,39.0,1.0,16,93.0
2020-03-31 23:43:43,Venezuela,135,3.0,39.0,0.0,0,93.0
2020-04-01 21:58:34,Venezuela,143,3.0,41.0,0.0,8,99.0
2020-04-02 23:25:00,Venezuela,146,5.0,43.0,2.0,3,98.0
2020-04-03 22:46:20,Venezuela,153,7.0,52.0,2.0,7,94.0
2020-04-04 23:34:00,Venezuela,155,7.0,52.0,0.0,2,96.0
2020-04-05 23:06:26,Venezuela,159,7.0,52.0,0.0,4,100.0
2020-04-06 23:21:00,Venezuela,165,7.0,65.0,0.0,6,93.0
2020-04-07 23:04:29,Venezuela,165,7.0,65.0,0.0,0,93.0
2020-04-08 22:51:39,Venezuela,167,9.0,65.0,2.0,2,93.0
2020-04-09 23:02:19,Venezuela,171,9.0,84.0,0.0,4,78.0
2020-04-10 22:53:48,Venezuela,171,9.0,84.0,0.0,0,78.0
2020-04-11 22:45:13,Venezuela,175,9.0,93.0,0.0,4,73.0
2020-04-12 23:17:00,Venezuela,181,9.0,93.0,0.0,6,79.0
2020-04-13 23:07:34,Venezuela,189,9.0,110.0,0.0,8,70.0
2020-04-14 23:33:12,Venezuela,189,9.0,110.0,0.0,0,70.0
2020-04-15 22:56:32,Venezuela,197,9.0,111.0,0.0,8,77.0
2020-04-16 23:30:31,Venezuela,204,9.0,111.0,0.0,7,84.0
2020-04-17 23:30:32,Venezuela,204,9.0,111.0,0.0,0,84.0
